รหัสนิสิต,รหัสวิชา,หมู่เรียนบรรยาย(ถ้ามี),หมู่เรียนปฏิบัติ(ถ้ามี),ผลการเรียน(ตัวอักษร),หน่วยกิต,ประเภทการลงทะเบียน,สถานะการศึกษา
6320500611,02204224,,711,B+,1,Credit,กำลังศึกษา
6320500611,02204311,700,,B+,3,Credit,กำลังศึกษา
6320500611,02204321,700,,B+,3,Credit,กำลังศึกษา
6320500611,02204351,700,,C+,3,Credit,กำลังศึกษา
6320500611,02204361,700,,A,3,Credit,กำลังศึกษา
6320500611,02204381,,712,A,1,Credit,กำลังศึกษา
6320500611,02738473,700,711,A,3,Credit,กำลังศึกษา
6320500654,02204221,700,,D+,3,Credit,กำลังศึกษา
6320500654,02204321,700,,C+,3,Credit,กำลังศึกษา
6320500654,02204351,700,,D,3,Credit,กำลังศึกษา
6320500654,02204361,700,,D+,3,Credit,กำลังศึกษา
6320500654,02204381,,712,C+,1,Credit,กำลังศึกษา
6320500654,02738473,700,711,A,3,Credit,กำลังศึกษา
6320500603,02204224,,711,A,1,Credit,กำลังศึกษา
6320500603,02204271,700,712,B,3,Credit,กำลังศึกษา
6320500603,02204311,700,,B,3,Credit,กำลังศึกษา
6320500603,02204321,700,,A,3,Credit,กำลังศึกษา
6320500603,02204351,700,,B,3,Credit,กำลังศึกษา
6320500603,02204361,700,,B,3,Credit,กำลังศึกษา
6320500603,02204381,,712,B+,1,Credit,กำลังศึกษา
6320500603,02738473,700,711,A,3,Credit,กำลังศึกษา
6320501561,02204361,700,,F,3,Credit,กำลังศึกษา
6320501561,02204351,700,,D,3,Credit,กำลังศึกษา
6320501561,02204321,700,,D+,3,Credit,กำลังศึกษา
6320501561,02204271,700,711,B+,3,Credit,กำลังศึกษา
