รหัสนิสิต,รหัสวิชา,หมู่เรียนบรรยาย(ถ้ามี),หมู่เรียนปฏิบัติ(ถ้ามี),ผลการเรียน(ตัวอักษร),หน่วยกิต,ประเภทการลงทะเบียน,สถานะการศึกษา,,,
6320500611,02204341,700,712,A,3,Credit,กำลังศึกษา,,,
6320500611,02204371,700,,A,3,Credit,กำลังศึกษา,,,
6320500611,02204372,700,,A,3,Credit,กำลังศึกษา,,,
6320500611,02204451,700,,A,3,Credit,กำลังศึกษา,,,
6320500611,02204472,700,,C+,3,Credit,กำลังศึกษา,,,
6320500611,02204497,700,,A,1,Credit,กำลังศึกษา,,,
6320500611,02206111,701,,B,3,Credit,กำลังศึกษา,,,
6320500611,02714101,701,,A,3,Credit,กำลังศึกษา,,,
6320500654,01417168,700,,F,3,Credit,กำลังศึกษา,,,
6320500654,02204222,,712,C,1,Credit,กำลังศึกษา,,,
6320500654,02204223,700,,F,3,Credit,กำลังศึกษา,,,
6320500654,02204341,700,711,C,3,Credit,กำลังศึกษา,,,
6320500654,02204371,700,,C,3,Credit,กำลังศึกษา,,,
6320500654,02204372,700,,C+,3,Credit,กำลังศึกษา,,,
6320500654,02204472,700,,C,3,Credit,กำลังศึกษา,,,
6320500654,02206111,701,,D+,3,Credit,กำลังศึกษา,,,
6320500603,02204341,700,712,A,3,Credit,กำลังศึกษา,,,
6320500603,02204371,700,,B+,3,Credit,กำลังศึกษา,,,
6320500603,02204372,700,,B+,3,Credit,กำลังศึกษา,,,
6320500603,02204451,700,,B+,3,Credit,กำลังศึกษา,,,
6320500603,02204472,700,,C+,3,Credit,กำลังศึกษา,,,
6320500603,02204497,700,,A,1,Credit,กำลังศึกษา,,,
6320500603,02206111,701,,C+,3,Credit,กำลังศึกษา,,,
6320500603,02714101,701,,A,3,Credit,กำลังศึกษา,,,
6320501561,02204232,700,,D+,3,Credit,กำลังศึกษา,,,
6320501561,02204223,700,,C,3,Credit,กำลังศึกษา,,,
6320501561,02204371,700,,C,3,Credit,กำลังศึกษา,,,
6320501561,02204372,700,,B+,3,Credit,กำลังศึกษา,,,
6320501561,02204497,700,,A,1,Credit,กำลังศึกษา,,,
6320501561,02204412,700,,B,3,Credit,กำลังศึกษา,,,
6320501561,01417168,700,,D+,3,Credit,กำลังศึกษา,,,
6320501561,02204281,700,,W,3,Credit,กำลังศึกษา,,,
