รหัสนิสิต,รหัสวิชา,หมู่เรียนบรรยาย(ถ้ามี),หมู่เรียนปฏิบัติ(ถ้ามี),ผลการเรียน(ตัวอักษร),หน่วยกิต,ประเภทการลงทะเบียน,สถานะการศึกษา
6320500611,01208111,701,712,B+,3,Credit,กำลังศึกษา
6320500611,01371111,701,,A,1,Credit,กำลังศึกษา
6320500611,02204222,,712,A,1,Credit,กำลังศึกษา
6320500611,02204223,700,,B+,3,Credit,กำลังศึกษา
6320500611,02204232,700,,A,3,Credit,กำลังศึกษา
6320500611,02204241,700,,B+,3,Credit,กำลังศึกษา
6320500611,02204272,,711,A,1,Credit,กำลังศึกษา
6320500611,02204281,700,,B,3,Credit,กำลังศึกษา
6320500654,01208111,701,712,B,3,Credit,กำลังศึกษา
6320500654,01371111,701,,A,1,Credit,กำลังศึกษา
6320500654,02204232,700,,D+,1,Credit,กำลังศึกษา
6320500654,02204241,700,,C+,3,Credit,กำลังศึกษา
6320500654,02204272,,711,A,1,Credit,กำลังศึกษา
6320500654,02204281,700,,C+,3,Credit,กำลังศึกษา
6320500603,01208111,701,712,B+,3,Credit,กำลังศึกษา
6320500603,01371111,701,,A,1,Credit,กำลังศึกษา
6320500603,02204172,,711,B+,1,Credit,กำลังศึกษา
6320500603,02204222,,712,A,1,Credit,กำลังศึกษา
6320500603,02204223,700,,B,3,Credit,กำลังศึกษา
6320500603,02204232,700,,A,3,Credit,กำลังศึกษา
6320500603,02204241,700,,B+,3,Credit,กำลังศึกษา
6320500603,02204272,,711,A,1,Credit,กำลังศึกษา
6320500603,02204281,700,,B,3,Credit,กำลังศึกษา
6320501561,02204222,,711,D+,1,Credit,กำลังศึกษา
6320501561,02204272,,711,A,1,Credit,กำลังศึกษา
6320501561,01999213,703,,W,3,Credit,กำลังศึกษา
6320501561,01208111,702,711,B,3,Credit,กำลังศึกษา
6320501561,02204111,700,,C+,3,Credit,กำลังศึกษา
6320501561,02204223,700,,F,3,Credit,กำลังศึกษา
6320501561,02204241,700,,B,3,Credit,กำลังศึกษา
